차트라벨,평형그룹,전용평수,계약일자,거래금액(만원),아파트,전용면적(평),전용면적(㎡),층,건축년도,법정동,지번,도로명,지역코드,조회지역코드,조회계약년월,계약년,계약월,계약일
개포주공6단지(32평형),32평형,22.1,20260125,360000.0,개포주공6단지,22.1,73.02,1,1983,개포동,185,개포로,11680,11680,202601,2026,01,25
신동아(22)(24평형),24평형,10.8,20260129,113000.0,신동아(22),10.8,35.73,6,1997,논현동,22,강남대로146길,11680,11680,202601,2026,01,29
청담건영(34평형),34평형,25.6,20260116,330000.0,청담건영,25.6,84.595,5,1994,청담동,108,도산대로89길,11680,11680,202601,2026,01,16
대우유로카운티(43평형),43평형,32.0,20260119,266000.0,대우유로카운티,32.0,105.66,7,2004,청담동,50-5,도산대로92길,11680,11680,202601,2026,01,19
현대힐스테이트2단지(24평형),24평형,13.3,20260124,214000.0,현대힐스테이트2단지,13.3,43.842,18,2008,삼성동,50,삼성로111길,11680,11680,202601,2026,01,24
까치마을(24평형),24평형,10.4,20260101,141000.0,까치마을,10.4,34.44,3,1993,수서동,746,광평로19길,11680,11680,202601,2026,01,01
한솔마을(24평형),24평형,19.3,20260113,269000.0,한솔마을,19.3,63.76,3,1994,일원동,731,광평로10길,11680,11680,202601,2026,01,13
까치마을(24평형),24평형,10.4,20260101,141000.0,까치마을,10.4,34.44,3,1993,수서동,746,광평로19길,11680,11680,202601,2026,01,01
대우디오빌(24평형),24평형,18.0,20260117,80500.0,대우디오빌,18.0,59.505,21,2002,역삼동,720-25,언주로,11680,11680,202601,2026,01,17
한양3(59평형),59평형,49.0,20260119,775000.0,한양3,49.0,161.9,5,1978,압구정동,489,압구정로,11680,11680,202601,2026,01,19
"현대1차(12,13,21,22,31,32,33동)(49평형)",49평형,39.8,20260129,710000.0,"현대1차(12,13,21,22,31,32,33동)",39.8,131.48,7,1976,압구정동,369-1,압구정로29길,11680,11680,202601,2026,01,29
진넥스빌2(24평형),24평형,8.9,20260130,22100.0,진넥스빌2,8.9,29.44,10,2003,역삼동,706-24,언주로86길,11680,11680,202601,2026,01,30
한신(개포)(24평형),24평형,15.9,20260125,320000.0,한신(개포),15.9,52.72,9,1985,도곡동,464,언주로,11680,11680,202601,2026,01,25
대치르엘(34평형),34평형,25.6,20260130,377000.0,대치르엘,25.6,84.7735,6,2021,대치동,1030,도곡로93길,11680,11680,202601,2026,01,30
한양1차(영동한양)(24평형),24평형,19.3,20260124,540000.0,한양1차(영동한양),19.3,63.87,3,1977,압구정동,490,압구정로,11680,11680,202601,2026,01,24
강남신동아파밀리에1단지(24평형),24평형,18.1,20260126,150000.0,강남신동아파밀리에1단지,18.1,59.88,10,2011,세곡동,508,헌릉로590길,11680,11680,202601,2026,01,26
테헤란아이파크(32평형),32평형,21.4,20260124,290000.0,테헤란아이파크,21.4,70.8333,6,2014,역삼동,709-5,테헤란로52길,11680,11680,202601,2026,01,24
시티프라디움더강남201동(32평형),32평형,21.3,20260131,167000.0,시티프라디움더강남201동,21.3,70.54,19,2021,역삼동,901,언주로,11680,11680,202601,2026,01,31
SK허브프리모(32평형),32평형,20.4,20260130,119000.0,SK허브프리모,20.4,67.5,18,2006,도곡동,953-1,강남대로,11680,11680,202601,2026,01,30
럭키(963)(49평형),49평형,37.5,20260129,311000.0,럭키(963),37.5,124.1,11,1995,도곡동,963,논현로,11680,11680,202601,2026,01,29
한양2(84평형),84평형,53.2,20260122,845000.0,한양2,53.2,175.92,12,1978,압구정동,493,압구정로,11680,11680,202601,2026,01,22
신현대11차(84평형),84평형,55.5,20260121,1100000.0,신현대11차,55.5,183.41,3,1983,압구정동,433,압구정로,11680,11680,202601,2026,01,21
현대1차101동~106동(84평형),84평형,53.6,20260123,425000.0,현대1차101동~106동,53.6,177.19,3,1984,개포동,653,개포로,11680,11680,202601,2026,01,23
까치마을(24평형),24평형,10.4,20260127,150000.0,까치마을,10.4,34.44,4,1993,수서동,746,광평로19길,11680,11680,202601,2026,01,27
LG선릉에클라트(B)(24평형),24평형,11.0,20260120,35000.0,LG선릉에클라트(B),11.0,36.35,10,2004,삼성동,142-3,테헤란로63길,11680,11680,202601,2026,01,20
신현대9차(43평형),43평형,33.0,20260112,700000.0,신현대9차,33.0,109.24,10,1982,압구정동,426,압구정로,11680,11680,202601,2026,01,12
미성2차(32평형),32평형,22.5,20260124,500000.0,미성2차,22.5,74.4,11,1987,압구정동,397,압구정로,11680,11680,202601,2026,01,24
도곡렉슬(84평형),84평형,53.5,20260120,650000.0,도곡렉슬,53.5,176.9924,21,2006,도곡동,527,선릉로,11680,11680,202601,2026,01,20
까치마을(24평형),24평형,12.0,20260114,157000.0,까치마을,12.0,39.6,3,1993,수서동,746,광평로19길,11680,11680,202601,2026,01,14
까치마을(24평형),24평형,12.0,20260131,166500.0,까치마을,12.0,39.6,12,1993,수서동,746,광평로19길,11680,11680,202601,2026,01,31
진넥스빌2(24평형),24평형,7.2,20260131,20000.0,진넥스빌2,7.2,23.85,11,2003,역삼동,706-24,언주로86길,11680,11680,202601,2026,01,31
개포주공6단지(32평형),32평형,22.1,20260125,360000.0,개포주공6단지,22.1,73.02,1,1983,개포동,185,개포로,11680,11680,202601,2026,01,25
한양7(43평형),43평형,32.1,20260120,545000.0,한양7,32.1,106.22,3,1981,압구정동,528,압구정로61길,11680,11680,202601,2026,01,20
래미안삼성1차(103-22)(43평형),43평형,34.5,20260119,300000.0,래미안삼성1차(103-22),34.5,114.17,1,2006,삼성동,103-22,영동대로114길,11680,11680,202601,2026,01,19
