아파트,건축년도,계약기간,계약구분,계약일,계약월,계약년,보증금(만원),전용면적(㎡),층,지번,월세(만원),종전계약보증금,종전계약월세,지역코드,법정동,갱신요구권사용,평형그룹,거래유형,환산보증금(만원),거래금액(만원),조회지역코드,조회계약년월,계약일자
신현대12차,1982,,,20,01,2014,41000.0,107.16,12,434,0.0,,,11680,압구정동,,34평형,전월세,41000.0,41000.0,11680,201401,20140120
개포우성2,1984,,,29,01,2014,65000.0,84.69,13,500,0.0,,,11680,대치동,,24평형,전월세,65000.0,65000.0,11680,201401,20140129
개포우성1,1983,,,20,01,2014,94000.0,127.61,6,503,0.0,,,11680,대치동,,34평형,전월세,94000.0,94000.0,11680,201401,20140120
삼부아파트(101동),1998,,,16,01,2014,20000.0,59.85,8,99-13,60.0,,,11680,삼성동,,24평형,전월세,35000.0,35000.0,11680,201401,20140116
신현대9차,1982,,,06,01,2014,50000.0,108.88,3,426,0.0,,,11680,압구정동,,34평형,전월세,50000.0,50000.0,11680,201401,20140106
개포우성1,1983,,,02,01,2014,96000.0,127.61,10,503,0.0,,,11680,대치동,,34평형,전월세,96000.0,96000.0,11680,201401,20140102
개포우성1,1983,,,10,01,2014,50000.0,127.61,8,503,200.0,,,11680,대치동,,34평형,전월세,100000.0,100000.0,11680,201401,20140110
개포우성1,1983,,,25,01,2014,60000.0,84.81,13,503,0.0,,,11680,대치동,,24평형,전월세,60000.0,60000.0,11680,201401,20140125
개포우성1,1983,,,03,01,2014,30000.0,84.81,7,503,85.0,,,11680,대치동,,24평형,전월세,51250.0,51250.0,11680,201401,20140103
개포우성2,1984,14.03~16.03,신규,25,01,2014,60000.0,84.69,10,500,0.0,,,11680,대치동,,24평형,전월세,60000.0,60000.0,11680,201401,20140125
신현대9차,1982,,,08,01,2014,52000.0,108.88,9,426,0.0,,,11680,압구정동,,34평형,전월세,52000.0,52000.0,11680,201401,20140108
개포우성2,1984,,,17,01,2014,69000.0,84.69,7,500,0.0,,,11680,대치동,,24평형,전월세,69000.0,69000.0,11680,201401,20140117
삼부아파트(101동),1998,,,03,01,2014,10000.0,83.39,7,99-13,145.0,,,11680,삼성동,,34평형,전월세,46250.0,46250.0,11680,201401,20140103
신현대11차,1983,,,16,01,2014,45000.0,108.36,9,433,0.0,,,11680,압구정동,,34평형,전월세,45000.0,45000.0,11680,201401,20140116
개포우성2,1984,,,11,01,2014,66000.0,84.69,3,500,0.0,,,11680,대치동,,24평형,전월세,66000.0,66000.0,11680,201401,20140111
