아파트,건축년도,거래금액(만원),계약일,계약월,계약년,전용면적(㎡),층,지번,도로명,지역코드,법정동,평형그룹,거래유형,조회지역코드,조회계약년월,계약일자
래미안퍼스티지,2009,98500.0,18,01,2014,59.96,19,18-1,반포대로,11650,반포동,24평형,매매,11650,201401,20140118
래미안퍼스티지,2009,135000.0,28,01,2014,84.85,4,18-1,반포대로,11650,반포동,34평형,매매,11650,201401,20140128
래미안퍼스티지,2009,131000.0,18,01,2014,84.93,21,18-1,반포대로,11650,반포동,34평형,매매,11650,201401,20140118
래미안퍼스티지,2009,117300.0,14,01,2014,84.93,1,18-1,반포대로,11650,반포동,34평형,매매,11650,201401,20140114
래미안퍼스티지,2009,132500.0,25,01,2014,84.76,13,18-1,반포대로,11650,반포동,34평형,매매,11650,201401,20140125
신반포2,1978,72000.0,23,01,2014,68.91,11,73,신반포로23길,11650,잠원동,24평형,매매,11650,201401,20140123
신반포2,1978,69800.0,09,01,2014,68.91,4,73,신반포로23길,11650,잠원동,24평형,매매,11650,201401,20140109
래미안퍼스티지,2009,96500.0,20,01,2014,59.96,17,18-1,반포대로,11650,반포동,24평형,매매,11650,201401,20140120
래미안퍼스티지,2009,123000.0,07,01,2014,84.93,27,18-1,반포대로,11650,반포동,34평형,매매,11650,201401,20140107
래미안퍼스티지,2009,96000.0,03,01,2014,59.96,14,18-1,반포대로,11650,반포동,24평형,매매,11650,201401,20140103
신반포2,1978,112500.0,22,02,2014,107.31,5,73,신반포로23길,11650,잠원동,34평형,매매,11650,201402,20140222
래미안퍼스티지,2009,130000.0,25,02,2014,84.93,6,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140225
래미안퍼스티지,2009,129000.0,28,02,2014,84.93,3,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140228
신반포2,1978,109000.0,13,02,2014,107.31,9,73,신반포로23길,11650,잠원동,34평형,매매,11650,201402,20140213
신반포2,1978,106750.0,22,02,2014,107.31,2,73,신반포로23길,11650,잠원동,34평형,매매,11650,201402,20140222
신반포2,1978,73000.0,22,02,2014,68.91,7,73,신반포로23길,11650,잠원동,24평형,매매,11650,201402,20140222
래미안퍼스티지,2009,140000.0,17,02,2014,84.93,6,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140217
신반포2,1978,70400.0,14,02,2014,68.91,2,73,신반포로23길,11650,잠원동,24평형,매매,11650,201402,20140214
래미안퍼스티지,2009,141000.0,13,02,2014,84.93,20,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140213
래미안퍼스티지,2009,134700.0,07,02,2014,84.93,3,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140207
래미안퍼스티지,2009,97000.0,10,02,2014,59.96,23,18-1,반포대로,11650,반포동,24평형,매매,11650,201402,20140210
래미안퍼스티지,2009,140000.0,11,02,2014,84.93,17,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140211
래미안퍼스티지,2009,86500.0,14,02,2014,59.96,4,18-1,반포대로,11650,반포동,24평형,매매,11650,201402,20140214
래미안퍼스티지,2009,89000.0,26,02,2014,59.96,3,18-1,반포대로,11650,반포동,24평형,매매,11650,201402,20140226
신반포2,1978,76000.0,22,02,2014,68.91,5,73,신반포로23길,11650,잠원동,24평형,매매,11650,201402,20140222
신반포2,1978,110000.0,22,02,2014,107.31,10,73,신반포로23길,11650,잠원동,34평형,매매,11650,201402,20140222
신반포2,1978,72000.0,20,02,2014,68.91,10,73,신반포로23길,11650,잠원동,24평형,매매,11650,201402,20140220
래미안퍼스티지,2009,127000.0,11,02,2014,84.93,13,18-1,반포대로,11650,반포동,34평형,매매,11650,201402,20140211
신반포2,1978,72000.0,31,03,2014,68.91,7,73,신반포로23길,11650,잠원동,24평형,매매,11650,201403,20140331
래미안퍼스티지,2009,143500.0,31,03,2014,84.93,7,18-1,반포대로,11650,반포동,34평형,매매,11650,201403,20140331
신반포25,1984,80500.0,10,03,2014,84.49,3,61-1,잠원로,11650,잠원동,34평형,매매,11650,201403,20140310
신반포2,1978,112700.0,12,03,2014,107.31,6,73,신반포로23길,11650,잠원동,34평형,매매,11650,201403,20140312
래미안퍼스티지,2009,138000.0,11,03,2014,84.93,24,18-1,반포대로,11650,반포동,34평형,매매,11650,201403,20140311
신반포2,1978,67000.0,29,03,2014,68.91,1,73,신반포로23길,11650,잠원동,24평형,매매,11650,201403,20140329
래미안퍼스티지,2009,97000.0,21,03,2014,59.89,14,18-1,반포대로,11650,반포동,24평형,매매,11650,201403,20140321
신반포2,1978,75000.0,15,03,2014,68.91,8,73,신반포로23길,11650,잠원동,24평형,매매,11650,201403,20140315
신반포2,1978,75000.0,05,03,2014,68.91,7,73,신반포로23길,11650,잠원동,24평형,매매,11650,201403,20140305
신반포2,1978,108250.0,04,03,2014,107.31,9,73,신반포로23길,11650,잠원동,34평형,매매,11650,201403,20140304
래미안퍼스티지,2009,130800.0,04,03,2014,84.93,29,18-1,반포대로,11650,반포동,34평형,매매,11650,201403,20140304
래미안퍼스티지,2009,97800.0,17,03,2014,59.96,6,18-1,반포대로,11650,반포동,24평형,매매,11650,201403,20140317
래미안퍼스티지,2009,145500.0,08,03,2014,84.93,8,18-1,반포대로,11650,반포동,34평형,매매,11650,201403,20140308
래미안퍼스티지,2009,97700.0,03,03,2014,59.89,11,18-1,반포대로,11650,반포동,24평형,매매,11650,201403,20140303
래미안퍼스티지,2009,151500.0,29,04,2014,84.93,14,18-1,반포대로,11650,반포동,34평형,매매,11650,201404,20140429
래미안퍼스티지,2009,141800.0,23,04,2014,84.93,27,18-1,반포대로,11650,반포동,34평형,매매,11650,201404,20140423
래미안퍼스티지,2009,89000.0,22,04,2014,59.89,9,18-1,반포대로,11650,반포동,24평형,매매,11650,201404,20140422
래미안퍼스티지,2009,128000.0,26,04,2014,84.93,5,18-1,반포대로,11650,반포동,34평형,매매,11650,201404,20140426
신반포2,1978,74000.0,24,04,2014,68.91,10,73,신반포로23길,11650,잠원동,24평형,매매,11650,201404,20140424
래미안퍼스티지,2009,145000.0,21,04,2014,84.93,27,18-1,반포대로,11650,반포동,34평형,매매,11650,201404,20140421
신반포2,1978,108800.0,23,05,2014,107.31,12,73,신반포로23길,11650,잠원동,34평형,매매,11650,201405,20140523
래미안퍼스티지,2009,146000.0,03,05,2014,84.93,29,18-1,반포대로,11650,반포동,34평형,매매,11650,201405,20140503
신반포2,1978,114800.0,14,05,2014,107.31,12,73,신반포로23길,11650,잠원동,34평형,매매,11650,201405,20140514
래미안퍼스티지,2009,143000.0,27,05,2014,84.93,19,18-1,반포대로,11650,반포동,34평형,매매,11650,201405,20140527
래미안퍼스티지,2009,127000.0,08,05,2014,84.93,3,18-1,반포대로,11650,반포동,34평형,매매,11650,201405,20140508
래미안퍼스티지,2009,137800.0,07,05,2014,84.85,3,18-1,반포대로,11650,반포동,34평형,매매,11650,201405,20140507
래미안퍼스티지,2009,140000.0,09,05,2014,84.93,27,18-1,반포대로,11650,반포동,34평형,매매,11650,201405,20140509
래미안퍼스티지,2009,93000.0,27,06,2014,59.89,18,18-1,반포대로,11650,반포동,24평형,매매,11650,201406,20140627
래미안퍼스티지,2009,131000.0,24,06,2014,84.93,17,18-1,반포대로,11650,반포동,34평형,매매,11650,201406,20140624
신반포2,1978,108800.0,14,06,2014,107.31,7,73,신반포로23길,11650,잠원동,34평형,매매,11650,201406,20140614
